Date,Price,Property Type,Location,Bedrooms,Bathrooms,Parking,Garden,Lease Length,Contact,Quarter
March 2024,"€ 5,180",House,Dublin City North - Dublin 9,3 Bedrooms,1 Bathroom,N,Yes,3 months,Estate Agent,Q1
March 2024,"€1,270.00",Apartment,Dublin City North - Dublin 1,2 Bedrooms,2 Bathrooms,No,No,12 months,Owner,Q1
March 2024,€ 870,Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q1
March 2024,"€ 1,650",Apartment,Dublin City South - Dublin 24,1 Bedroom,1 Bathroom,No,No,12 months,Owner,Q1
March 2024,"€ 3,600",House,Dublin City South - Dublin 20,1 Bedroom,2,No,Yes,6 months,Estate Agent,Q1
March 2024,"€ 1,360 per month",Apartment,Dublin City South - Dublin 24,1 Bedroom,2 Bathrooms,No,???,12 months,Estate Agent,Q1
March 2024,"€1,780.00",Apartment,Dublin City North - Dublin 1,3,1 Bathroom,No,No,12 months,Estate Agent,Q1
March 2024,"€ 1,180",Apartment,Dublin City North - Dublin 1,1,2 Bathrooms,No,No,12 months,Owner,Q1
March 2024,"€ 3,690",House,Dublin City South - Dublin 10,3 Bedrooms,1 Bathroom,No,Yes,12 months,Owner,Q1
March 2024,"€1,450.00",Apartment,Dublin City South - Dublin 6,2,1 Bathroom,Yes,No,12 months,Estate Agent,Q1
March 2024,"€ 1,200 per month",Apartment,Dublin City South - Dublin 22,1 Bedroom,1 Bathroom,No,No,12 months,Owner,Q1
March 2024,"€ 2,240",House,Dublin City North - Dublin 15,2 Bedrooms,2 Bathrooms,Yes,No,3 months,Estate Agent,Q1
March 2024,"€ 1,150",Apartment,Dublin City South - Dublin 22,2 Bedrooms,1 Bathroom,Yes,No,3 months,Estate Agent,Q1
March 2024,"€ 1,290",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1,No,No,12 months,Estate Agent,Q1
March 2024,€940.00,Apartment,Dublin City North - Dublin 5,1 Bedroom,1,No,No,12 months,Owner,Q1
March 2024,"€ 2,040",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,???,No,12 months,Estate Agent,Q1
March 2024,"€ 2,430",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,???,12 months,Estate Agent,Q1
March 2024,"€ 4,200",House,Dublin City North - Dublin 11,4 Bedrooms,4 Bathrooms,???,Yes,12 months,Estate Agent,Q1
March 2024,"€ 1,040",Apartment,Dublin City South - Dublin 18,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q1
March 2024,"€1,750.00",Apartment,Dublin City North - Dublin 1,1 Bedroom,2,Yes,N,12 months,Owner,Q1
March 2024,"€ 2,010",Apartment,Dublin City South - Dublin 2,1 Bedroom,1 Bathroom,Y,No,6 months,Estate Agent,Q1
April 2024,"€ 1,100",Apartment,Dublin City South - Dublin 18,1 Bedroom,2 Bathrooms,N,No,12 months,Owner,Q2
April 2024,"€ 2,370",Apartment,Dublin City South - Dublin 10,3 Bedrooms,2 Bathrooms,Y,No,12 months,Estate Agent,Q2
April 2024,€ 980,Apartment,Dublin City North - Dublin 1,1 Bedroom,2,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,470",Apartment,Dublin City North - Dublin 1,1,1 Bathroom,No,???,6 months,Owner,Q2
April 2024,"€ 4,130 per month",House,Dublin City South - Dublin 6,1,2,No,Yes,6 months,Estate Agent,Q2
April 2024,€ 970,Apartment,Dublin City North - Dublin 9,1 Bedroom,1,No,No,12 months,Owner,Q2
April 2024,"€ 1,950",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1,No,No,6 months,Estate Agent,Q2
April 2024,"€ 3,220",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,160",Apartment,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 4,600",Apartment,Dublin City South - Dublin 10,3 Bedrooms,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 1,370",Apartment,Dublin City South - Dublin 6,2 Bedrooms,1,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,710",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,570",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Owner,Q2
April 2024,"€ 1,370",Apartment,Dublin City South - Dublin 4,1,2,No,No,6 months,Estate Agent,Q2
April 2024,"€ 4,850",House,Dublin City North - Dublin 11,3 Bedrooms,2 Bathrooms,???,Yes,3 months,Estate Agent,Q2
April 2024,"€ 4,080",Apartment,Dublin City South - Dublin 2,3,1 Bathroom,Yes,N,12 months,Estate Agent,Q2
April 2024,"€ 1,040",Apartment,Dublin City South - Dublin 2,1,1 Bathroom,No,No,12 months,Owner,Q2
April 2024,"€ 4,690",Apartment,South Co Dublin,3,2 Bathrooms,Yes,N,6 months,Estate Agent,Q2
April 2024,€ 950,Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,960",House,Dublin City South - Dublin 6,4 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 2,420 per month",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,No,No,3 months,Estate Agent,Q2
April 2024,"€ 1,250",Apartment,Dublin City North - Dublin 5,1 Bedroom,1 Bathroom,No,No,12 months,Owner,Q2
April 2024,"€ 2,580",House,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 1,700",Apartment,Dublin City North - Dublin 13,1,1,No,No,6 months,Estate Agent,Q2
April 2024,"€ 1,580 per month",Apartment,Dublin City North - Dublin 1,1,2 Bathrooms,No,???,12 months,Estate Agent,Q2
April 2024,"€ 3,480 per month",House,Dublin City South - Dublin 22,4,4 Bathrooms,No,Yes,12 months,Estate Agent,Q2
April 2024,"€ 1,050",Apartment,Dublin City South - Dublin 6W,1,1 Bathroom,No,???,12 months,Owner,Q2
April 2024,"€ 1,460 per month",Apartment,Dublin City North - Dublin 1,2,1 Bathroom,N,No,3 months,Estate Agent,Q2
April 2024,"€ 3,890",House,Dublin City North - Dublin 9,3,2,No,Yes,12 months,Owner,Q2
April 2024,"€ 2,350",Apartment,Dublin City South - Dublin 12,2 Bedrooms,1 Bathroom,No,???,12 months,Estate Agent,Q2
April 2024,"€ 1,860",Apartment,Dublin City South - Dublin 6W,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 3,530",House,Dublin City South - Dublin 12,4,3 Bathrooms,???,Yes,6 months,Estate Agent,Q2
April 2024,"€ 1,140",Apartment,Dublin City North - Dublin 1,1,2 Bathrooms,???,No,12 months,Estate Agent,Q2
April 2024,"€ 1,590",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,190",Apartment,Dublin City South - Dublin 22,2 Bedrooms,2,No,No,12 months,Estate Agent,Q2
April 2024,"€ 4,950",House,Dublin City North - Dublin 1,5 Bedrooms,4 Bathrooms,No,Yes,12 months,Estate Agent,Q2
April 2024,"€ 4,390",House,Dublin City South - Dublin 8,2 Bedrooms,2 Bathrooms,No,Yes,12 months,Estate Agent,Q2
April 2024,"€ 1,380",Apartment,South Co Dublin,1 Bedroom,2,No,No,12 months,Estate Agent,Q2
April 2024,"€2,050.00",Apartment,Dublin City North - Dublin 11,3 Bedrooms,2 Bathrooms,No,???,6 months,Estate Agent,Q2
April 2024,"€ 1,390 per month",Apartment,Dublin City North - Dublin 7,2,1 Bathroom,???,No,???,Estate Agent,Q2
April 2024,"€ 1,040 per month",Apartment,Dublin City South - Dublin 6,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 3,490",House,Dublin City North - Dublin 9,3 Bedrooms,1 Bathroom,Yes,Yes,3 months,Owner,Q2
April 2024,"€ 4,400",House,Dublin City South - Dublin 10,3 Bedrooms,2 Bathrooms,Y,???,3 months,Estate Agent,Q2
April 2024,"€ 1,790",Apartment,South Co Dublin,1 Bedroom,2 Bathrooms,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 2,460",House,Dublin City North - Dublin 11,3,2 Bathrooms,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 1,390",Apartment,Dublin City South - Dublin 12,1 Bedroom,2,No,No,12 months,Owner,Q2
April 2024,"€ 2,380",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,???,12 months,Estate Agent,Q2
April 2024,"€ 4,210 per month",Apartment,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,No,No,6 months,Estate Agent,Q2
April 2024,€ 920,Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,Yes,No,6 months,Estate Agent,Q2
April 2024,"€ 5,790",House,Dublin City South - Dublin 12,3 Bedrooms,2 Bathrooms,No,Yes,3 months,Estate Agent,Q2
April 2024,"€ 1,650 per month",Apartment,Dublin City South - Dublin 24,2 Bedrooms,2,No,No,12 months,Owner,Q2
April 2024,"€ 1,280 per month",Apartment,Dublin City North - Dublin 17,1 Bedroom,2 Bathrooms,Yes,???,12 months,Estate Agent,Q2
April 2024,"€ 5,430",Apartment,Dublin City South - Dublin 2,3 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,760 per month",House,Dublin City North - Dublin 3,3,2,No,???,12 months,Owner,Q2
April 2024,"€ 2,060",Apartment,Dublin City South - Dublin 12,2,2 Bathrooms,No,N,6 months,Estate Agent,Q2
April 2024,€ 930 per month,Apartment,Dublin City South - Dublin 22,2 Bedrooms,1 Bathroom,No,No,12 months,Owner,Q2
April 2024,"€ 4,120",House,Dublin City North - Dublin 7,4,2 Bathrooms,Y,Yes,3.0,Estate Agent,Q2
April 2024,"€ 1,460",Apartment,Dublin City South - Dublin 2,1,2 Bathrooms,Y,N,12 months,Owner,Q2
April 2024,"€3,380.00",House,Dublin City South - Dublin 6W,3 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 1,450",Apartment,Dublin City North - Dublin 11,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 3,450",Apartment,Dublin City South - Dublin 2,2,2 Bathrooms,Yes,No,12.0,Estate Agent,Q2
April 2024,"€ 1,440 per month",Apartment,Dublin City South - Dublin 8,1 Bedroom,1,No,No,12.0,Estate Agent,Q2
April 2024,"€ 4,200",House,Dublin City South - Dublin 2,5 Bedrooms,4,Y,Yes,3 months,Owner,Q2
April 2024,"€3,030.00 per month",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1,No,No,12 months,Estate Agent,Q2
April 2024,"€2,840.00 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 3,590",House,Dublin City South - Dublin 20,4 Bedrooms,2 Bathrooms,Yes,???,12 months,Estate Agent,Q2
April 2024,"€ 5,810",Apartment,Dublin City South - Dublin 4,3 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,360",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,No,No,6 months,Estate Agent,Q2
April 2024,"€4,360.00 per month",House,Dublin City South - Dublin 12,3,2 Bathrooms,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 3,400",House,Dublin City South - Dublin 14,4 Bedrooms,3 Bathrooms,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 2,140 per month",Apartment,Dublin City North - Dublin 17,1 Bedroom,2 Bathrooms,No,No,3 months,Estate Agent,Q2
April 2024,"€ 2,670",House,Dublin City South - Dublin 14,3 Bedrooms,1 Bathroom,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 2,860 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,320",Apartment,Dublin City South - Dublin 6,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 4,410",House,Dublin City North - Dublin 9,3 Bedrooms,2 Bathrooms,Yes,???,12 months,Estate Agent,Q2
April 2024,€980.00,Apartment,Dublin City North - Dublin 3,2 Bedrooms,1 Bathroom,Y,No,12.0,Owner,Q2
April 2024,"€3,200.00",House,Dublin City North - Dublin 9,1,1 Bathroom,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 3,050",Apartment,Dublin City South - Dublin 2,3 Bedrooms,1 Bathroom,No,N,12 months,Owner,Q2
April 2024,"€ 2,450",House,North Co Dublin,4 Bedrooms,1 Bathroom,No,Yes,12 months,Estate Agent,Q2
April 2024,"€ 2,160 per month",Apartment,South Co Dublin,2,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,450",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,No,No,12 months,Estate Agent,Q2
April 2024,"€1,890.00",Apartment,Dublin City North - Dublin 1,1,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 1,290",Apartment,Dublin City South - Dublin 8,1 Bedroom,2 Bathrooms,No,???,12.0,Estate Agent,Q2
April 2024,"€ 2,140",House,Dublin City North - Dublin 15,4 Bedrooms,1,Yes,Yes,6 months,Estate Agent,Q2
April 2024,"€ 5,920",House,Dublin City North - Dublin 1,4 Bedrooms,4 Bathrooms,No,Yes,12 months,Estate Agent,Q2
April 2024,"€ 5,730 per month",House,Dublin City South - Dublin 18,3 Bedrooms,1 Bathroom,Y,Yes,3 months,Estate Agent,Q2
April 2024,"€ 2,240",Apartment,Dublin City North - Dublin 1,1 Bedroom,1,???,No,12 months,Estate Agent,Q2
April 2024,"€ 5,340 per month",House,Dublin City North - Dublin 17,3 Bedrooms,2 Bathrooms,Yes,Yes,3 months,Estate Agent,Q2
April 2024,"€ 1,140",Apartment,Dublin City North - Dublin 1,2,2 Bathrooms,Yes,No,6 months,Estate Agent,Q2
April 2024,"€ 3,440",House,Dublin City South - Dublin 8,3 Bedrooms,2 Bathrooms,Yes,Y,12 months,Estate Agent,Q2
April 2024,"€ 3,820 per month",House,Dublin City South - Dublin 16,3 Bedrooms,2 Bathrooms,Yes,Yes,6.0,Estate Agent,Q2
April 2024,"€ 1,330",Apartment,Dublin City North - Dublin 1,1 Bedroom,1,N,???,12 months,Owner,Q2
April 2024,"€ 2,330",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,No,No,12 months,Owner,Q2
April 2024,"€ 1,530",Apartment,Dublin City South - Dublin 24,2 Bedrooms,2,Yes,N,12 months,Owner,Q2
April 2024,"€ 3,580",House,Dublin City South - Dublin 10,3,2 Bathrooms,Yes,???,12.0,Estate Agent,Q2
April 2024,"€ 1,640",Apartment,Dublin City North - Dublin 1,1,1,Yes,No,???,Estate Agent,Q2
April 2024,"€ 3,190 per month",Apartment,Dublin City North - Dublin 13,2 Bedrooms,1 Bathroom,Yes,No,3 months,Estate Agent,Q2
April 2024,"€ 4,260",House,Dublin City South - Dublin 10,3,2,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 3,070",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,730 per month",Apartment,Dublin City North - Dublin 15,2 Bedrooms,1,No,No,6 months,Estate Agent,Q2
April 2024,"€ 5,360",House,South Co Dublin,3,1 Bathroom,Yes,Y,???,Estate Agent,Q2
April 2024,"€ 2,660",House,Dublin City North - Dublin 13,4 Bedrooms,4 Bathrooms,No,Yes,12 months,Owner,Q2
April 2024,"€ 5,160",House,Dublin City North - Dublin 3,3 Bedrooms,1 Bathroom,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 2,580",House,Dublin City South - Dublin 24,4 Bedrooms,3 Bathrooms,Yes,Yes,3 months,Estate Agent,Q2
April 2024,"€ 1,500",Apartment,Dublin City North - Dublin 1,1,2 Bathrooms,Y,???,12.0,Estate Agent,Q2
April 2024,"€ 1,510",Apartment,South Co Dublin,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 1,110",Apartment,Dublin City North - Dublin 9,1 Bedroom,1,No,No,12 months,Estate Agent,Q2
April 2024,"€ 5,360",Apartment,Dublin City North - Dublin 3,3 Bedrooms,1 Bathroom,No,No,3 months,Estate Agent,Q2
April 2024,"€ 5,230",House,Dublin City North - Dublin 1,4,1 Bathroom,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 1,250 per month",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 1,720",Apartment,Dublin City South - Dublin 2,1,2 Bathrooms,Yes,N,12 months,Estate Agent,Q2
April 2024,"€ 3,130 per month",House,Dublin City South - Dublin 18,1 Bedroom,2 Bathrooms,No,Yes,6 months,Estate Agent,Q2
April 2024,"€ 1,070 per month",Apartment,Dublin City North - Dublin 1,1 Bedroom,1,No,No,12 months,Estate Agent,Q2
April 2024,"€ 3,160",Apartment,Dublin City North - Dublin 1,3 Bedrooms,1 Bathroom,No,No,12 months,Owner,Q2
April 2024,"€ 1,440 per month",Apartment,Dublin City South - Dublin 6,1,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€1,040.00",Apartment,Dublin City South - Dublin 4,1,2 Bathrooms,???,No,12 months,Estate Agent,Q2
April 2024,"€1,170.00",Apartment,Dublin City South - Dublin 2,1,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,370",Apartment,Dublin City South - Dublin 24,2 Bedrooms,1,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,500",Apartment,Dublin City North - Dublin 17,2,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,€ 910 per month,Apartment,Dublin City South - Dublin 18,1,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 3,760",House,Dublin City North - Dublin 1,4 Bedrooms,1 Bathroom,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 3,000 per month",House,Dublin City North - Dublin 1,3,1,Yes,Yes,12 months,Owner,Q2
April 2024,"€1,680.00",Apartment,Dublin City South - Dublin 2,1 Bedroom,1 Bathroom,No,No,3 months,Estate Agent,Q2
April 2024,"€ 2,200",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,N,12 months,Estate Agent,Q2
April 2024,€ 930,Apartment,Dublin City North - Dublin 15,1 Bedroom,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,460",Apartment,Dublin City North - Dublin 13,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 1,540",Apartment,Dublin City North - Dublin 1,2,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,710",Apartment,Dublin City South - Dublin 2,2,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,870",Apartment,Dublin City North - Dublin 1,1 Bedroom,1,No,???,6 months,Estate Agent,Q2
April 2024,"€ 5,980",House,Dublin City South - Dublin 2,4 Bedrooms,4 Bathrooms,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 1,520",Apartment,Dublin City South - Dublin 12,2,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 3,570",House,Dublin City North - Dublin 3,3 Bedrooms,2 Bathrooms,Yes,???,6 months,Owner,Q2
April 2024,"€ 1,420",Apartment,Dublin City North - Dublin 1,1,1 Bathroom,???,N,6 months,Estate Agent,Q2
April 2024,"€ 5,450",House,Dublin City South - Dublin 2,3 Bedrooms,1,Yes,Yes,12 months,Owner,Q2
April 2024,"€2,100.00",Apartment,Dublin City South - Dublin 20,2,2 Bathrooms,No,No,12 months,Owner,Q2
April 2024,"€ 1,050",Apartment,Dublin City South - Dublin 6,1 Bedroom,2,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,920",Apartment,Dublin City North - Dublin 13,2 Bedrooms,1 Bathroom,N,No,12 months,Owner,Q2
April 2024,"€ 2,120",Apartment,Dublin City South - Dublin 14,2 Bedrooms,1 Bathroom,No,No,12.0,Owner,Q2
April 2024,"€ 1,820 per month",Apartment,Dublin City South - Dublin 16,1 Bedroom,1 Bathroom,???,No,12 months,Estate Agent,Q2
April 2024,"€ 4,280",House,Dublin City South - Dublin 6,4 Bedrooms,3,Yes,Yes,12 months,Estate Agent,Q2
April 2024,"€ 2,120 per month",House,South Co Dublin,2 Bedrooms,2,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 1,390",Apartment,Dublin City South - Dublin 18,1,2 Bathrooms,Yes,No,12 months,Owner,Q2
April 2024,"€ 1,650",Apartment,Dublin City South - Dublin 2,1,1 Bathroom,No,???,12 months,Owner,Q2
April 2024,"€ 1,240 per month",Apartment,Dublin City South - Dublin 24,2 Bedrooms,1,Yes,N,???,Estate Agent,Q2
April 2024,"€ 1,280",Apartment,South Co Dublin,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€4,780.00",House,Dublin City South - Dublin 6,2 Bedrooms,1 Bathroom,Yes,???,12 months,Owner,Q2
April 2024,"€ 1,320",Apartment,Dublin City South - Dublin 2,1 Bedroom,2 Bathrooms,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 1,780",Apartment,Dublin City South - Dublin 6W,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,320 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,3 months,Estate Agent,Q2
April 2024,"€ 2,490",Apartment,Dublin City North - Dublin 11,3 Bedrooms,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 2,260",House,Dublin City North - Dublin 15,3 Bedrooms,2 Bathrooms,Yes,Yes,6.0,Owner,Q2
April 2024,"€ 1,490",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,750",Apartment,Dublin City North - Dublin 3,1,2 Bathrooms,No,N,12.0,Estate Agent,Q2
April 2024,"€ 1,780",Apartment,Dublin City North - Dublin 17,2,2,No,No,3 months,Estate Agent,Q2
April 2024,"€ 1,640",Apartment,Dublin City North - Dublin 1,1 Bedroom,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,570",Apartment,Dublin City South - Dublin 4,2,1 Bathroom,???,No,12 months,Estate Agent,Q2
April 2024,"€ 1,130 per month",Apartment,Dublin City South - Dublin 2,1 Bedroom,2,No,N,12 months,Estate Agent,Q2
April 2024,"€ 1,650",Apartment,Dublin City South - Dublin 22,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 2,130 per month",Apartment,Dublin City North - Dublin 1,2,2,No,No,12 months,Owner,Q2
April 2024,"€ 1,870",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1,???,No,12 months,Estate Agent,Q2
April 2024,"€ 5,540",House,Dublin City South - Dublin 4,3 Bedrooms,2,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 5,080",House,Dublin City South - Dublin 14,4 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Owner,Q2
April 2024,"€ 4,230",House,Dublin City North - Dublin 3,3,2 Bathrooms,Yes,???,3 months,Estate Agent,Q2
April 2024,"€ 3,310",House,Dublin City North - Dublin 9,3 Bedrooms,2,Yes,Yes,3 months,Estate Agent,Q2
April 2024,"€ 3,200",House,Dublin City South - Dublin 2,4,1 Bathroom,Yes,???,12 months,Owner,Q2
April 2024,"€ 2,100 per month",Apartment,Dublin City North - Dublin 1,1 Bedroom,1 Bathroom,No,No,6 months,Estate Agent,Q2
April 2024,"€ 1,170",Apartment,Dublin City North - Dublin 1,1 Bedroom,2 Bathrooms,Yes,No,12 months,Owner,Q2
April 2024,"€ 3,720",Apartment,Dublin City North - Dublin 1,3 Bedrooms,2,No,No,6 months,Estate Agent,Q2
April 2024,€ 760,Apartment,Dublin City North - Dublin 11,1 Bedroom,1,N,No,12 months,Estate Agent,Q2
April 2024,"€ 3,670",House,Dublin City South - Dublin 16,3 Bedrooms,2 Bathrooms,Yes,Y,12.0,Estate Agent,Q2
April 2024,"€ 2,360",Apartment,Dublin City South - Dublin 2,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
April 2024,"€ 2,620",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,No,No,6 months,Estate Agent,Q2
April 2024,"€1,290.00",Apartment,Dublin City North - Dublin 9,1 Bedroom,1 Bathroom,???,No,12 months,Estate Agent,Q2
April 2024,"€ 1,650",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,Yes,No,6 months,Estate Agent,Q2
April 2024,"€ 1,250",Apartment,South Co Dublin,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
April 2024,"€ 1,360",Apartment,Dublin City South - Dublin 2,1 Bedroom,1,Yes,No,12 months,Owner,Q2
April 2024,"€1,400.00",Apartment,Dublin City South - Dublin 2,2,1,No,No,12 months,Owner,Q2
April 2024,"€ 2,080",Apartment,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,No,???,12 months,Estate Agent,Q2
April 2024,"€ 1,980",Apartment,Dublin City South - Dublin 2,1 Bedroom,2,No,???,12 months,Estate Agent,Q2
April 2024,"€ 1,190 per month",Apartment,Dublin City South - Dublin 22,1 Bedroom,1 Bathroom,Yes,No,12 months,Estate Agent,Q2
April 2024,"€ 1,460 per month",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,???,Estate Agent,Q2
May 2024,"€ 1,290",Apartment,Dublin City North - Dublin 1,1 Bedroom,1,Y,N,6 months,Estate Agent,Q2
May 2024,"€ 1,280",Apartment,Dublin City South - Dublin 2,2 Bedrooms,2 Bathrooms,No,No,12 months,Estate Agent,Q2
May 2024,"€ 1,040",Apartment,Dublin City North - Dublin 5,2 Bedrooms,1,No,No,12 months,Estate Agent,Q2
May 2024,"€ 2,570 per month",Apartment,Dublin City South - Dublin 2,2,2,No,No,12 months,Estate Agent,Q2
May 2024,"€ 1,720",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,No,No,6.0,Estate Agent,Q2
May 2024,"€ 4,510",House,Dublin City North - Dublin 5,3 Bedrooms,2 Bathrooms,Yes,Yes,12 months,Estate Agent,Q2
May 2024,"€ 2,960",House,Dublin City North - Dublin 1,3 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
May 2024,"€ 2,770",House,Dublin City North - Dublin 7,4 Bedrooms,2 Bathrooms,Yes,Yes,6 months,Owner,Q2
May 2024,"€ 5,840",Apartment,Dublin City North - Dublin 1,3 Bedrooms,2 Bathrooms,No,No,3 months,Estate Agent,Q2
May 2024,"€ 1,560 per month",Apartment,Dublin City South - Dublin 18,1,1 Bathroom,No,No,12 months,Estate Agent,Q2
May 2024,"€ 2,060",Apartment,Dublin City North - Dublin 1,2 Bedrooms,1 Bathroom,N,No,12 months,Estate Agent,Q2
May 2024,"€ 1,330",Apartment,Dublin City North - Dublin 5,1 Bedroom,2 Bathrooms,No,No,6.0,Owner,Q2
May 2024,"€ 2,030",Apartment,Dublin City North - Dublin 17,2 Bedrooms,1 Bathroom,No,No,12 months,Estate Agent,Q2
May 2024,"€ 4,290",House,Dublin City South - Dublin 2,4,3 Bathrooms,Yes,Yes,12 months,Estate Agent,Q2
